Influential 2-amod
to 7-aux
have 7-aux
declined 4-xcomp
0.2 9-nummod
% 7-npadvmod
, 4-punct
according 4-prep
to 11-prep
a 14-det
consensus 12-pobj
of 14-prep
economists 15-pobj
surveyed 16-acl
by 17-agent
Dow 20-compound
Jones 23-compound
Capital 22-compound
Markets 23-compound
Report 18-pobj
. 4-punct

 24-dep

The 4-det
August 4-compound
trade 4-compound
deficit 6-nsubjpass
is 6-auxpass
expected 0-ROOT
to 9-aux
have 9-aux
widened 6-xcomp
to 9-prep
$ 13-quantmod
9.1 13-compound
billion 10-pobj
from 9-prep
$ 17-quantmod
7.58 17-compound
billion 14-pobj
in 14-prep
July 18-pobj
. 6-punct

 20-dep

A 2-det
widening 7-nsubj
of 2-prep
that 5-det
magnitude 3-pobj
, 7-punct
said 0-ROOT
one 11-nummod
New 10-compound
York 11-compound
trader 13-nsubj
, 13-punct
is 7-ccomp
` 13-punct
` 13-punct
not 19-neg
a 19-det
favorable 19-amod
number 13-attr
... 13-punct
. 7-punct

 21-dep

It 3-nsubj
could 3-aux
do 0-ROOT
damage 3-dobj
to 3-prep
us 5-pobj
. 3-punct
'' 3-punct

 8-dep

Meanwhile 6-advmod
, 6-punct
agency 4-compound
supply 6-nsubjpass
is 6-auxpass
expected 0-ROOT
to 8-aux
weigh 6-xcomp
heavily 8-advmod
on 8-prep
the 12-det
market 10-pobj
today 8-npadvmod
when 20-advmod
the 19-det
Federal 19-compound
Home 19-compound
Loan 19-compound
Bank 20-nsubj
prices 8-advcl
a 25-det
$ 24-quantmod
2.3 24-compound
billion 25-nummod
offering 20-dobj
of 25-prep
one 29-nummod
- 29-punct
year 42-nmod
, 42-punct
three 33-nummod
- 33-punct
year 42-nmod
, 42-punct
five 37-nummod
- 37-punct
year 42-nmod
and 37-cc
10 41-nummod
- 41-punct
year 37-conj
maturities 26-pobj
. 6-punct

 43-dep

Tomorrow 8-npadvmod
, 8-punct
the 6-det
Resolution 6-compound
Funding 6-compound
Corp. 8-nsubj
will 8-aux
provide 0-ROOT
details 8-dobj
of 9-prep
its 14-poss
first 14-amod
bond 14-compound
issue 10-pobj
, 14-punct
which 18-nsubjpass
is 18-auxpass
expected 14-relcl
to 20-aux
total 18-xcomp
between 24-quantmod
$ 24-quantmod
4 24-compound
billion 20-dobj
and 24-cc
$ 28-quantmod
6 28-compound
billion 24-conj
and 20-cc
carry 20-conj
a 32-det
maturity 33-npadvmod
greater 36-amod
than 35-quantmod
20 36-nummod
years 30-dobj
. 8-punct

 37-dep

Resolution 2-compound
Funding 3-nsubj
is 0-ROOT
a 5-det
division 3-attr
of 5-prep
Resolution 9-compound
Trust 9-compound
Corp. 6-pobj
, 9-punct
the 14-det
new 14-amod
federal 14-amod
agency 9-appos
created 14-acl
to 17-aux
bail 15-advcl
out 17-prt
the 20-det
nation 23-poss
's 20-case
troubled 23-amod
thrifts 17-dobj
. 3-punct

 24-dep

And 8-cc
this 3-det
week 8-npadvmod
the 7-det
Tennessee 6-compound
Valley 7-compound
Authority 8-nsubj
plans 0-ROOT
to 10-aux
price 8-xcomp
a 15-det
$ 14-quantmod
3 14-compound
billion 15-nummod
offering 10-dobj
, 15-punct
its 21-poss
first 21-amod
public 20-amod
debt 21-compound
borrowing 10-dobj
in 21-prep
15 24-nummod
years 22-pobj
. 8-punct

 25-dep

` 4-punct
` 4-punct
There 4-expl
's 14-ccomp
lots 4-attr
of 5-prep
supply 6-pobj
, 14-punct
'' 14-punct
the 13-det
New 12-compound
York 13-compound
trader 14-nsubj
said 0-ROOT
. 14-punct

 15-dep

` 4-punct
` 4-punct
We 4-nsubj
have 0-ROOT
a 6-quantmod
couple 10-nummod
or 6-cc
three 6-conj
tough 10-amod
weeks 11-nsubj
coming 4-ccomp
. 4-punct

'' 10-punct

 1-dep
Treasury 4-compound
Securities 6-compound

 4-dep
Prices 10-nsubj
of 6-prep
Treasury 9-compound
bonds 7-pobj
tumbled 0-ROOT
in 10-prep
moderate 11-amod
to 10-prep
active 15-amod
trading 13-pobj
. 10-punct

 16-dep

The 7-det
benchmark 7-amod
30 5-nummod
- 5-punct
year 7-compound
Treasury 7-compound
bond 9-nsubjpass
was 9-auxpass
quoted 0-ROOT
late 9-advmod
at 9-prep
a 13-det
price 11-pobj
of 13-prep
101 16-compound
19/32 14-pobj
, 9-punct
compared 9-prep
with 18-prep
a 22-det
closing 22-compound
price 19-pobj
of 22-prep
103 25-compound
12/32 23-pobj
Friday 22-npadvmod
. 9-punct

 27-dep

The 2-det
yield 7-nsubj
on 2-prep
the 6-det
benchmark 6-compound
issue 3-pobj
rose 0-ROOT
to 7-prep
7.97 10-nummod
% 8-pobj
from 7-prep
7.82 13-nummod
% 11-pobj
. 7-punct

 14-dep

The 6-det
latest 6-amod
10 5-nummod
- 5-punct
year 6-compound
notes 8-nsubjpass
were 8-auxpass
quoted 0-ROOT
late 8-advmod
at 8-prep
100 12-compound
3/32 10-pobj
for 8-prep
a 15-det
yield 13-pobj
of 15-prep
7.97 18-nummod
% 16-pobj
, 8-punct
compared 8-prep
with 20-prep
101 23-compound
9/32 21-pobj
to 25-aux
yield 23-relcl
7.84 27-nummod
% 25-dobj
. 8-punct

 28-dep

Short 3-amod
- 3-punct
term 5-compound
interest 5-compound
rates 6-nsubj
fell 0-ROOT
yesterday 6-npadvmod
at 6-prep
the 10-det
government 15-poss
's 10-case
weekly 15-amod
Treasury 14-compound
bill 15-compound
auction 8-pobj
. 6-punct

 16-dep

The 4-det
average 4-amod
discount 4-compound
rate 12-nsubj
on 4-prep
new 11-amod
three 9-nummod
- 9-punct
month 11-compound
Treasury 11-compound
bills 5-pobj
was 0-ROOT
7.37 14-nummod
% 12-attr
, 14-punct
the 17-det
lowest 14-appos
since 17-prep
the 20-det
average 18-pobj
of 20-prep
7.36 23-nummod
% 21-pobj
at 20-prep
the 26-det
auction 24-pobj
on 26-prep
Oct. 27-pobj
17 28-nummod
, 28-punct
1988 28-nummod
. 12-punct

 32-dep

The 4-det
average 4-amod
discount 4-compound
rate 5-nsubj
was 0-ROOT
7.42 7-nummod
% 5-attr
on 7-prep
new 13-amod
six 12-nummod
- 12-punct
month 13-compound
bills 8-pobj
, 5-punct
the 16-det
lowest 5-attr
since 16-prep
the 19-det
average 17-pobj
of 19-prep
7.35 22-nummod
% 20-pobj
at 19-prep
the 25-det
auction 23-pobj
on 25-prep
July 26-pobj
31 27-nummod
, 27-punct
1989 27-nummod
. 5-punct

 31-dep

Here 2-advmod
are 9-ccomp
auction 4-compound
details 2-nsubj
: 9-punct

 5-dep
Rates 9-nsubjpass
are 9-auxpass
determined 0-ROOT
by 9-agent
the 12-det
difference 10-pobj
between 12-prep
the 16-det
purchase 16-compound
price 13-pobj
and 16-cc
face 19-compound
value 16-conj
. 9-punct

 20-dep

Thus 5-advmod
, 5-punct
higher 4-amod
bidding 5-nsubj
narrows 0-ROOT
the 7-det
investor 9-poss
's 7-case
return 5-dobj
while 13-mark
lower 12-amod
bidding 13-nsubj
widens 5-advcl
it 13-dobj
. 5-punct

 15-dep

The 3-det
percentage 3-compound
rates 5-nsubjpass
are 5-auxpass
calculated 0-ROOT
on 5-prep
a 11-det
360 10-nummod
- 10-punct
day 11-compound
year 6-pobj
, 5-punct
while 20-mark
the 18-det
coupon 17-npadvmod
- 17-punct
equivalent 18-amod
yield 20-nsubjpass
is 20-auxpass
based 5-advcl
on 20-prep
a 26-det
365 25-nummod
- 25-punct
day 26-compound
year 21-pobj
. 5-punct

 27-dep

Both 2-det
issues 4-nsubjpass
are 4-auxpass
dated 0-ROOT
Oct. 4-npadvmod
19 5-nummod
. 4-punct

 7-dep

The 5-det
13 4-nummod
- 4-punct
week 5-compound
bills 6-nsubj
mature 0-ROOT
Jan. 6-npadvmod
18 7-nummod
, 7-punct
1990 7-nummod
, 6-punct
and 6-cc
the 17-det
26 16-nummod
- 16-punct
week 17-compound
bills 18-nsubj
mature 6-conj
April 18-npadvmod
19 19-nummod
, 19-punct
1990 19-nummod
. 18-punct

 23-dep

Corporate 2-compound
Issues 8-nmod

 2-dep
Investment 6-nmod
- 6-punct
grade 8-nmod
corporate 8-amod
bonds 9-nsubj
ended 0-ROOT
one 13-quantmod
to 13-quantmod
1 13-compound
1/2 14-nummod
point 15-npadvmod
lower 9-advmod
. 9-punct

 16-dep

There 2-expl
were 0-ROOT
no 5-det
new 5-amod
issues 2-attr
. 2-punct

 6-dep

Foreign 2-compound
Bonds 5-compound

 2-dep
Foreign 5-amod
bonds 6-nsubj
surged 0-ROOT
as 10-mark
the 9-det
dollar 10-nsubj
weakened 6-advcl
against 10-prep
most 14-amod
major 14-amod
currencies 11-pobj
. 6-punct

 15-dep

Among 16-prep
benchmark 3-amod
issues 1-pobj
: 16-punct
-- 16-punct
Japan 13-poss
's 6-case
No 13-nmod
. 13-nmod
111 13-nummod
4.6 12-nummod
% 13-compound
bond 16-nsubj
due 13-amod
1998 14-npadvmod
ended 0-ROOT
on 16-prep
brokers 19-compound
screens 17-pobj
at 16-prep
96.15 20-pobj
, 16-punct
up 16-advmod
1.17 25-nummod
point 23-npadvmod
. 16-punct

 26-dep

The 2-det
yield 3-nsubj
was 0-ROOT
5.245 5-nummod
% 3-attr
. 3-punct

 6-dep
-- 3-punct
West 10-compound
Germany 15-poss
's 10-case
6 13-compound
3/4 14-nummod
% 15-compound
issue 19-nsubj
due 15-amod
June 16-npadvmod
1999 17-nummod
ended 3-conj
at 19-prep
98.30 20-pobj
, 19-punct
up 19-advmod
0.91 25-nummod
point 23-npadvmod
to 27-aux
yield 19-advcl
6.99 29-nummod
% 27-dobj
. 19-punct

 30-dep

-- 10-punct
Britain 7-poss
's 2-case
11 5-compound
3/4 6-nummod
% 7-compound
bond 10-nsubj
due 7-amod
2003/2007 8-npadvmod
ended 0-ROOT
1 12-compound
1/8 13-npadvmod
higher 10-advmod
at 10-prep
111 16-compound
19/32 14-pobj
to 18-aux
yield 10-advcl
10.12 20-nummod
% 18-dobj
, 10-punct
while 30-mark
the 27-det
11 25-compound
3/4 26-nummod
% 27-compound
notes 30-nsubj
due 27-amod
1991 28-npadvmod
rose 10-advcl
21/32 30-npadvmod
to 30-prep
98 34-compound
26/32 32-pobj
to 36-aux
yield 30-advcl
12.74 38-nummod
% 36-dobj
. 10-punct

 39-dep

Mortgage 3-npadvmod
- 3-punct
Backed 7-amod
Securities 7-compound

 4-dep
Mortgage 7-compound
securities 8-nsubj
gave 0-ROOT
up 8-prt
most 8-dobj
of 10-prep
Friday 14-poss
's 12-case
gains 11-pobj
as 8-prep
active 17-amod
issues 15-pobj
ended 8-advcl
24/32 21-quantmod
to 21-quantmod
30/32 22-nummod
point 23-npadvmod
lower 18-acomp
. 8-punct

 24-dep

Dealers 2-nsubj
said 0-ROOT
morning 4-compound
activity 5-nsubj
was 2-ccomp
hectic 5-acomp
as 9-mark
prices 9-nsubj
dropped 5-advcl
in 9-prep
response 10-pobj
to 11-prep
gains 12-pobj
in 13-prep
the 17-det
stock 17-compound
market 14-pobj
and 17-cc
losses 17-conj
in 17-prep
Treasury 22-compound
securities 20-pobj
, 5-punct
but 5-cc
trading 26-nsubj
slowed 5-conj
to 26-prep
moderate 29-amod
levels 27-pobj
in 26-prep
the 32-det
afternoon 30-pobj
. 2-punct

 33-dep

Government 4-nmod
National 4-nmod
Mortgage 4-nmod
Association 7-nmod
9 6-nummod
% 7-compound
securities 12-nsubjpass
for 7-prep
November 10-compound
delivery 8-pobj
were 12-auxpass
quoted 28-ccomp
late 12-advmod
yesterday 12-npadvmod
at 12-prep
98 17-compound
4/32 15-pobj
, 12-punct
down 12-advmod
30/32 19-npadvmod
from 19-prep
Friday 21-pobj
; 28-punct
9 25-compound
1/2 26-nummod
% 27-compound
securities 28-nsubj
were 0-ROOT
down 28-advmod
27/32 29-npadvmod
at 29-prep
100 33-compound
5/32 31-pobj
; 28-punct
and 28-cc
10 37-nummod
% 38-compound
securities 39-nsubj
were 28-conj
at 39-prep
102 42-compound
2/32 40-pobj
, 39-punct
off 39-advmod
24/32 44-npadvmod
. 39-punct

 46-dep

Federal 5-nmod
Home 5-nmod
Loan 5-nmod
Mortgage 5-nmod
Corp. 8-nmod
9 7-nummod
% 8-compound
securities 9-nsubj
were 0-ROOT
at 9-prep
97 12-compound
1/4 10-pobj
, 9-punct
down 9-advmod
3/4 14-npadvmod
. 9-punct

 16-dep

On 6-prep
Friday 1-pobj
, 6-punct
mortgage 5-compound
issues 6-nsubj
gained 0-ROOT
as 11-advmod
much 11-amod
as 11-quantmod
1 11-compound
5/32 6-dobj
. 6-punct

 12-dep

Late 2-amod
yesterday 9-npadvmod
Ginnie 4-nmod
Mae 7-nmod
9 6-nummod
% 7-compound
securities 9-nsubj
were 9-aux
yielding 0-ROOT
9.39 11-nummod
% 9-dobj
to 9-prep
a 19-det
12 16-nummod
- 16-punct
year 19-nmod
average 18-amod
life 19-compound
assumption 12-pobj
, 9-punct
as 31-mark
the 23-det
spread 31-nsubj
above 23-prep
the 30-det
Treasury 30-nmod
10 29-nummod
- 29-punct
year 30-compound
note 24-pobj
narrowed 9-advcl
0.01 34-nummod
percentage 34-compound
point 31-dobj
to 31-prep
1.42 35-pobj
. 9-punct

 37-dep

Traders 2-nsubj
said 0-ROOT
there 4-expl
were 2-ccomp
some 7-det
busy 7-amod
dealings 4-attr
in 7-prep
Freddie 10-nmod
Mac 16-nmod
and 10-cc
Federal 15-compound
National 15-compound
Mortgage 15-compound
Association 10-conj
securities 8-pobj
because 32-mark
underwriters 32-nsubj
from 18-prep
last 21-amod
week 24-poss
's 21-case
heavy 24-amod
slate 19-pobj
of 24-prep
real 27-amod
estate 29-compound
mortgage 29-compound
investment 31-compound
conduit 31-compound
issues 25-pobj
moved 4-advcl
to 34-aux
gather 32-xcomp
collateral 34-dobj
for 34-prep
new 38-amod
deals 36-pobj
. 2-punct

 39-dep

Offsetting 8-advcl
the 6-det
Remic 5-npadvmod
- 5-punct
related 6-amod
purchases 1-dobj
were 8-auxpass
continued 10-amod
heavy 10-amod
sales 0-ROOT
by 10-prep
mortgage 13-compound
originators 11-pobj
, 13-punct
which 17-nsubj
are 17-aux
producing 13-relcl
increased 19-amod
amounts 17-dobj
of 19-prep
fixed 23-amod
- 23-punct
rate 27-nmod
mortgage 26-npadvmod
- 26-punct
backed 27-amod
issues 20-pobj
with 19-prep
lower 30-amod
rates 28-pobj
. 10-punct

 31-dep

There 2-expl
was 0-ROOT
no 7-det
new 6-amod
- 6-punct
issue 7-compound
activity 2-attr
in 7-prep
the 11-det
derivative 11-amod
market 8-pobj
. 2-punct

 12-dep

Municipals 9-nsubj

 1-dep
Rebounding 1-acl
stocks 3-dobj
and 4-cc
weaker 8-amod
Treasury 8-compound
prices 4-conj
drove 0-ROOT
municipal 11-amod
bonds 9-dobj
1/4 14-quantmod
to 14-quantmod
3/4 15-nummod
point 16-npadvmod
lower 9-advmod
in 9-prep
late 19-amod
dealings 17-pobj
. 9-punct

 20-dep

The 3-det
session 3-compound
losses 4-nsubj
left 0-ROOT
municipal 6-amod
dollar 7-compound
bonds 4-dobj
close 7-amod
to 8-prep
where 12-advmod
they 12-nsubj
were 9-pcomp
before 12-prep
the 18-det
190.58 17-nummod
- 17-punct
point 18-compound
drop 13-pobj
in 18-prep
the 24-det
Dow 22-compound
Jones 24-compound
Industrial 24-compound
Average 19-pobj
Friday 18-npadvmod
prompted 4-conj
a 30-det
capital 29-compound
markets 30-compound
rally 26-dobj
. 4-punct

 31-dep

Trading 2-nsubj
was 0-ROOT
hectic 2-acomp
during 2-prep
the 6-det
morning 4-pobj
, 2-punct
with 2-prep
players 10-nsubj
trying 8-pcomp
to 12-aux
gauge 10-xcomp
whether 16-mark
equities 16-nsubj
would 16-aux
continue 12-ccomp
Friday 20-poss
's 17-case
free 20-amod
fall 16-dobj
or 16-cc
stabilize 16-conj
after 22-prep
a 26-det
brief 26-amod
spot 23-pobj
of 26-prep
weakness 27-pobj
. 2-punct

 29-dep

Tax 3-compound
- 3-punct
exempts 4-nsubj
started 0-ROOT
the 6-det
session 4-dobj
flat 6-amod
to 7-prep
a 10-det
touch 11-npadvmod
higher 4-advmod
on 4-prep
anticipation 12-pobj
of 13-prep
further 18-amod
stock 17-compound
market 18-compound
erosion 14-pobj
, 4-punct
but 4-cc
bond 22-compound
prices 24-nsubj
rapidly 24-advmod
turned 4-conj
south 24-advmod
as 28-mark
it 28-nsubj
became 24-advcl
more 30-advmod
clear 28-acomp
that 39-mark
a 33-det
repeat 39-nsubj
of 33-prep
the 38-det
October 38-nmod
1987 36-nummod
crash 34-pobj
was 28-ccomp
n't 39-neg
at 39-prep
hand 41-pobj
. 24-punct

 43-dep

Professionals 2-nsubj
dominated 0-ROOT
municipal 4-amod
trading 2-dobj
throughout 2-prep
the 7-det
session 5-pobj
. 2-punct

 8-dep

Traders 2-nsubj
said 0-ROOT
retail 4-amod
investors 5-nsubj
seemed 2-ccomp
to 8-aux
be 8-aux
hugging 5-xcomp
the 10-det
sidelines 8-dobj
until 17-mark
a 13-det
measure 17-nsubjpass
of 13-prep
volatility 14-pobj
is 17-auxpass
wrung 8-advcl
out 17-prep
of 18-prep
the 21-det
market 19-pobj
. 2-punct

 22-dep

New 2-compound
Jersey 3-compound
Turnpike 4-compound
Authority 8-poss
's 4-case
7.20 7-nummod
% 8-compound
issue 11-nsubj
of 8-prep
2018 9-pobj
was 0-ROOT
off 11-advmod
3/4 12-npadvmod
at 11-prep
98 16-compound
1/2 17-nummod
bid 14-pobj
, 11-punct
yielding 11-advcl
7.32 21-nummod
% 19-dobj
, 19-punct
up 19-advmod
0.07 26-nummod
percentage 26-compound
point 23-npadvmod
from 23-prep
late 29-amod
Friday 27-pobj
. 11-punct

 30-dep

Florida 2-compound
Board 9-poss
of 2-prep
Education 3-pobj
's 2-case
7 7-compound
1/4 8-nummod
% 9-compound
issue 12-nsubj
of 9-prep
2023 10-pobj
was 0-ROOT
5/8 14-nummod
point 15-npadvmod
weaker 12-acomp
at 12-prep
99 18-compound
1/2 19-nummod
bid 16-pobj
. 12-punct

 20-dep

The 5-det
7 3-compound
1/8 4-nummod
% 5-compound
issue 19-nsubj
of 5-prep
Triborough 8-nmod
Bridge 6-pobj
and 8-cc
Tunnel 11-compound
Authority 8-conj
of 11-prep
New 14-compound
York 12-pobj
, 5-punct
due 5-amod
2019 16-npadvmod
, 19-punct
was 0-ROOT
off 19-advmod
5/8 20-npadvmod
at 19-prep
98 24-compound
1/8 25-nummod
bid 22-pobj
. 19-punct

 26-dep

And 16-cc
Fairfax 3-compound
County 16-nsubj
, 3-punct
Va. 3-appos
, 3-punct
Water 8-compound
Authority 13-poss
's 8-case
7 11-compound
1/4 12-nummod
% 13-compound
issue 3-appos
of 13-prep
2027 14-pobj
was 0-ROOT
down 16-advmod
3/4 17-npadvmod
at 16-prep
99 21-compound
7/8 22-nummod
bid 19-pobj
. 16-punct

 23-dep

Serial 3-amod
bond 3-compound
yields 4-nsubj
were 0-ROOT
up 4-advmod
about 7-advmod
0.05 9-nummod
percentage 9-compound
point 5-npadvmod
. 4-punct

 10-dep

BMA 9-nsubj
Corp. 1-pobj
, 2-punct
Kansas 5-compound
City 1-meta
, 5-punct
Mo. 5-appos
, 9-punct
said 0-ROOT
it 12-nsubj
's 12-aux
weighing 9-ccomp
` 12-punct
` 16-punct
strategic 16-amod
alternatives 12-dobj
, 12-punct
'' 12-punct
for 12-prep
its 26-poss
Business 22-compound
Men 26-poss
's 22-case
Assurance 25-compound
Co. 26-compound
unit 19-pobj
, 12-punct
and 12-cc
is 30-aux
contacting 12-conj
possible 32-amod
buyers 30-dobj
of 32-prep
the 39-det
life 38-nmod
and 35-cc
health 35-conj
insurance 39-compound
operation 33-pobj
. 9-punct

 40-dep

A 3-det
BMA 3-compound
spokesman 4-nsubj
said 0-ROOT
` 4-punct
` 4-punct
runaway 9-amod
medical 9-amod
costs 12-nsubj
'' 9-punct
have 12-aux
made 4-ccomp
health 14-compound
insurance 12-dobj
` 12-punct
` 12-punct
a 19-det
significant 19-amod
challenge 12-dobj
, 12-punct
'' 12-punct
and 12-cc
margins 27-nsubjpass
also 27-advmod
have 27-aux
been 27-auxpass
pinched 12-conj
by 27-agent
changes 28-pobj
in 29-prep
the 32-det
mix 30-pobj
of 32-prep
life 36-compound
- 36-punct
insurance 37-compound
products 38-compound
consumers 33-pobj
now 40-advmod
demand 12-ccomp
. 4-punct

 41-dep

The 6-det
Business 3-compound
Men 6-poss
's 3-case
Assurance 6-compound
unit 7-nsubj
represented 35-ccomp
about 11-quantmod
$ 11-quantmod
288 11-compound
million 7-dobj
of 11-prep
the 14-det
company 18-poss
's 14-case
$ 18-quantmod
488 18-compound
million 12-pobj
in 18-prep
1988 21-nummod
revenue 19-pobj
, 7-punct
and 7-cc
the 25-det
unit 28-poss
's 25-case
operating 28-compound
income 29-nsubj
was 7-conj
about 33-advmod
$ 33-quantmod
10 33-compound
million 29-attr
, 35-punct
said 0-ROOT
the 37-det
spokesman 35-nsubj
. 35-punct

 38-dep

BMA 4-poss
's 1-case
investment 4-compound
banker 0-ROOT
, 4-punct
Alex 4-npadvmod
. 6-punct

Brown 8-nsubjpass
& 1-cc
Sons 4-compound
Inc. 1-conj
, 8-punct
has 8-aux
been 8-auxpass
authorized 0-ROOT
to 10-aux
contact 8-xcomp
possible 12-amod
buyers 10-dobj
for 12-prep
the 15-det
unit 13-pobj
. 8-punct

 16-dep

Laidlaw 3-compound
Transportation 3-compound
Ltd. 4-nsubj
said 0-ROOT
it 6-nsubj
raised 4-ccomp
its 8-poss
stake 6-dobj
in 8-prep
ADT 11-compound
Ltd. 9-pobj
of 11-prep
Bermuda 12-pobj
to 6-prep
29.4 16-nummod
% 14-pobj
from 6-prep
28 19-nummod
% 17-pobj
. 4-punct

 20-dep

A 2-det
spokesman 5-nsubj
for 2-prep
Laidlaw 3-pobj
declined 0-ROOT
to 7-aux
disclose 5-xcomp
the 9-det
price 7-dobj
the 16-det
Toronto 16-nmod
transportation 16-nmod
and 12-cc
waste 15-compound
services 12-conj
concern 7-dobj
paid 16-acl
for 17-prep
the 21-det
additional 21-amod
shares 18-pobj
, 21-punct
which 27-nsubj
he 25-nsubj
said 21-relcl
were 27-auxpass
acquired 25-ccomp
` 27-punct
` 27-punct
over 27-prep
the 33-det
last 33-amod
couple 30-pobj
of 33-prep
weeks 34-pobj
. 5-punct

'' 0-ROOT

 1-dep

The 2-det
spokesman 3-nsubj
said 0-ROOT
Laidlaw 7-nsubj
would 7-aux
n't 7-neg
increase 3-ccomp
its 9-poss
stake 7-dobj
in 9-prep
ADT 10-pobj
beyond 7-prep
30 14-nummod
% 12-pobj
` 7-punct
` 7-punct
without 7-prep
a 20-det
great 20-amod
deal 17-pobj
of 20-prep
thought 21-pobj
'' 7-punct
because 7-prep
of 24-pcomp
British 28-amod
takeover 28-compound
regulations 24-pobj
that 30-nsubj
require 28-relcl
a 32-det
company 30-dobj
acquiring 32-acl
more 36-amod
than 36-quantmod
30 37-nummod
% 33-dobj
to 39-aux
extend 33-xcomp
an 41-det
offer 39-dobj
to 39-prep
the 44-det
rest 42-pobj
of 44-prep
the 47-det
company 49-poss
's 47-case
shareholders 45-pobj
. 3-punct

 50-dep

ADT 10-nsubj
, 1-punct
a 8-det
security 5-compound
services 8-nmod
and 5-cc
auctions 5-conj
company 1-appos
, 10-punct
trades 0-ROOT
on 10-prep
London 15-poss
's 12-case
Stock 15-compound
Exchange 11-pobj
. 10-punct

 16-dep

Laidlaw 2-nsubj
is 0-ROOT
47%-controlled 2-attr
by 3-prep
Canadian 7-compound
Pacific 7-compound
Ltd. 4-pobj
, 7-punct
a 11-det
Montreal 11-compound
transportation 7-appos
, 11-punct
resources 11-conj
and 13-cc
industrial 16-amod
holding 17-compound
concern 13-conj
. 2-punct

 18-dep

Nintendo 2-compound
Co. 18-nsubj
, 2-punct
a 6-det
Japanese 6-amod
maker 2-appos
of 6-prep
video 9-compound
games 7-pobj
, 9-punct
electronic 12-amod
information 13-compound
systems 9-conj
and 13-cc
playing 16-compound
cards 13-conj
, 18-punct
posted 0-ROOT
a 23-det
23 21-nummod
% 22-npadvmod
unconsolidated 23-amod
surge 18-dobj
in 23-prep
pretax 26-amod
profit 24-pobj
to 18-prep
61.41 29-compound
billion 30-nummod
yen 27-pobj
-LRB- 30-punct
$ 34-quantmod
429 34-compound
million 35-nummod
-RRB- 30-appos
from 18-prep
50 38-compound
billion 39-nummod
yen 36-pobj
-LRB- 39-punct
$ 43-quantmod
349.9 43-compound
million 44-nummod
-RRB- 39-appos
for 18-prep
the 48-det
fiscal 48-amod
year 45-pobj
ended 48-acl
Aug. 49-npadvmod
31 50-nummod
. 18-punct

 52-dep

Sales 2-nsubj
surged 0-ROOT
40 4-nummod
% 2-npadvmod
to 2-prep
250.17 7-compound
billion 8-nummod
yen 5-pobj
from 2-prep
178.61 11-compound
billion 9-pobj
. 2-punct

 12-dep

Net 2-amod
income 3-nsubj
rose 0-ROOT
11 5-nummod
% 3-npadvmod
to 3-prep
29.62 8-compound
billion 9-nummod
yen 6-pobj
from 3-prep
26.68 12-compound
billion 10-pobj
. 3-punct

 13-dep

Pershare 2-compound
net 3-nsubj
fell 0-ROOT
to 3-prep
423.3 6-nummod
yen 4-pobj
from 3-prep
457.7 9-nummod
yen 7-pobj
because 3-prep
of 10-pcomp
expenses 10-pobj
and 12-cc
capital 15-compound
adjustments 12-conj
. 3-punct

 16-dep

Without 8-prep
detailing 1-pcomp
specific 5-amod
product 5-compound
breakdowns 2-dobj
, 8-punct
Nintendo 8-nsubj
credited 0-ROOT
its 11-poss
bullish 11-amod
upsurge 8-dobj
in 11-prep
sales 12-pobj
-- 11-punct
including 11-prep
advanced 18-amod
computer 18-compound
games 15-pobj
and 18-cc
television 21-compound
entertainment 22-compound
systems 18-conj
-- 11-punct
to 8-prep
surging 24-pcomp
` 32-punct
` 32-punct
leisure 30-npadvmod
- 30-punct
oriented 32-amod
'' 32-punct
sales 25-dobj
in 32-prep
foreign 35-amod
markets 33-pobj
. 8-punct

 36-dep

Export 2-compound
sales 11-nsubj
for 2-prep
leisure 5-compound
items 3-pobj
alone 5-advmod
, 11-punct
for 11-prep
instance 8-pobj
, 11-punct
totaled 0-ROOT
184.74 13-compound
billion 14-nummod
yen 11-dobj
in 11-prep
the 18-det
12 18-nummod
months 15-pobj
, 11-punct
up 11-advmod
from 20-prep
106.06 23-compound
billion 21-pobj
in 21-prep
the 28-det
previous 28-amod
fiscal 28-amod
year 24-pobj
. 11-punct

 29-dep

Domestic 3-amod
leisure 3-compound
sales 7-nsubj
, 7-punct
however 7-advmod
, 7-punct
were 0-ROOT
lower 7-acomp
. 7-punct

 9-dep

Hertz 2-compound
Corp. 9-nsubj
of 2-prep
Park 5-compound
Ridge 3-pobj
, 5-punct
N.J. 5-appos
, 2-punct
said 0-ROOT
it 11-nsubj
retained 9-ccomp
Merrill 15-compound
Lynch 15-compound
Capital 15-compound
Markets 11-dobj
to 17-aux
sell 11-xcomp
its 23-poss
Hertz 22-compound
Equipment 22-compound
Rental 22-compound
Corp. 23-compound
unit 17-dobj
. 9-punct

 24-dep

` 36-punct
` 4-punct
There 4-expl
is 36-ccomp
no 7-det
pressing 7-amod
need 4-attr
to 9-aux
sell 7-acl
the 11-det
unit 9-dobj
, 4-punct
but 4-cc
we 16-nsubj
are 16-aux
doing 4-conj
it 16-dobj
so 21-mark
